,_obj ID,_obj type,_county,_estate,_latitude,_longitude,_accuracy,_distance from Daugava,_toponym,_language,_source,_DELETE,_comment,_etymology,_alternative etymology,_inherited,_reliability,_source language,_attestation,_meaning,_category,_post_quem,_source text,_editor,coords,closest_archeo,distance_to_closest_archeo
_source,-0.011453895990625561,-0.011084889849456808,0.1582737211116573,0.1410695768837696,-0.06495056557044579,0.07168068090437413,-0.09913165618159502,0.00637878522557477,-0.05400172806117336,-0.08721820332138286,1.0,-0.3046114110280148,0.08081978347377845,-0.07809110786774942,-0.04582616885168017,-0.0372416510708118,0.023289853697905018,-0.0438912999288249,-0.027410686186202026,-0.032302752379293455,-0.02185312470697692,-0.09874666317412582,-0.05440531042952877,0.07137655255930579,-0.06434337642384211,-0.07479635837488934,0.013781164758647053
_DELETE,0.08836512213286656,0.03271379010194046,-0.22005708614271713,-0.22763116056152569,0.22030255857961065,-0.22624780970678676,0.016135461148038828,-0.003531073564486526,0.09536858347006637,-0.016486055448918596,-0.3046114110280148,1.0,0.017340484426927035,0.08832158878044072,0.0320607570769179,-0.008434083576471841,-0.018620017733064397,0.041414097095642234,0.022592041573721872,0.010336996162906733,0.016789477660724823,-0.042344106469848694,0.06415628710227889,-0.001422921451631442,0.21873565070978537,0.22574763704416376,-0.08532525112664076
_comment,0.01198154865206972,-0.005843275675162502,0.07378108923742924,0.11152039218743177,-0.08996420853817864,0.08744255210344365,-0.03960750837615754,0.02358899289837181,0.028036799068647287,0.00634790145928899,0.08081978347377845,0.017340484426927035,1.0,0.03525716045865434,0.02856299843313187,-0.0004694967309572888,0.012293504759636276,-0.01430543078510102,-0.013927124046779748,0.00223401179301378,0.01928788766944101,0.04120522341733935,0.02433561674537341,0.0011278873455347373,-0.08631260078317467,-0.10263424981533356,0.00010561589238357804
_etymology,0.20827619826327037,0.014769010718904406,-0.05042471449236406,-0.03311866203009935,0.019896617597997292,-0.025550902213998528,-0.04743286458242858,0.014893828858007779,0.287914774125609,0.019660108013992095,-0.07809110786774942,0.08832158878044072,0.03525716045865434,1.0,0.09116044178698077,0.1912112713668264,0.15862024646053435,0.17518488175013713,0.05531000307175123,0.19235568282650398,0.13908178452610104,0.08705883744413195,0.16480012854803439,-0.03506276740969337,0.020747667804074048,0.018866604535051925,-0.028309007884855155
_alternative etymology,0.11351461401084227,-0.018243496412756976,-0.046048987642103086,0.008539094709653526,0.039292321332304515,-0.03652195408919939,-0.011507367645105852,0.03023224709582351,0.11140254071868777,-0.00014679777684579692,-0.04582616885168017,0.0320607570769179,0.02856299843313187,0.09116044178698077,1.0,0.07117969777040963,-0.006213813892245784,0.033071821025976146,0.013241926499701677,0.0967522048360957,0.048802621257480056,0.08787844468722536,0.09437820150034418,-0.0675184754001369,0.04033214220885296,0.025562742762497034,0.0072558137627237425
_inherited,0.04425971188718577,-0.010840043653357067,-0.08449601313591007,0.002228343739515435,0.032518732319345614,-0.034567157319359554,-0.03685189444627223,0.009190368212354864,0.056980163299779014,0.01122471553779924,-0.0372416510708118,-0.008434083576471841,-0.0004694967309572888,0.1912112713668264,0.07117969777040963,1.0,0.23902652337773475,0.11584014263205093,0.018514992470493888,0.26146432283770127,0.18004501541743545,0.10295160623160383,0.03736989529766431,-0.0009221332990730875,0.03357841644595607,0.023955580560758423,-0.004167294766689056
_reliability,0.013468226622218254,0.012283094324243517,0.009492055723868806,0.005752472795268054,-0.0007821239394347326,-0.0006032587425728887,0.0015930939890454244,0.019843508041761077,0.004152405190908957,0.019173328015908386,0.023289853697905018,-0.018620017733064397,0.012293504759636276,0.15862024646053435,-0.006213813892245784,0.23902652337773475,1.0,0.22946458218397509,0.03589185873663636,0.1537474833173751,0.24156020724911703,0.06119727062511834,-0.00397162051672609,0.09657157813507625,0.0004431270996427552,-0.006626297935484502,0.0034536942344972517
_source language,0.004564381167474724,0.07210539920367857,-0.018754778909920996,-0.048450871944097834,-0.021317694629466945,0.020628345300204184,-0.003736410240678238,0.015522551537175558,0.02920840226550896,0.10211046736144,-0.0438912999288249,0.041414097095642234,-0.01430543078510102,0.17518488175013713,0.033071821025976146,0.11584014263205093,0.22946458218397509,1.0,0.2042602189112072,0.19156927628923065,0.18083099802942246,0.046244893668927416,0.01484893729480923,0.08772874066396959,-0.020071762552511918,-0.02131499155314672,-0.020522613804182323
_attestation,-0.03832844568040671,0.06577176541677282,0.023808767837369453,0.028626388419664178,-0.00687972253350368,0.01506384685744143,0.03171294185373916,0.03347819976101934,0.009000034713660647,0.29576317823934367,-0.027410686186202026,0.022592041573721872,-0.013927124046779748,0.05531000307175123,0.013241926499701677,0.018514992470493888,0.03589185873663636,0.2042602189112072,1.0,0.021750328260150498,-0.00021916472325897598,-0.0687409800724158,0.03378463501818275,0.18199505861062504,-0.004507778725627992,-0.01717494792691708,-0.019181567833598284
_meaning,0.07257075946234462,0.05996745670261003,-0.031014661057459682,-0.02271881058928483,-0.003508970012924374,0.005531993172628082,-0.01654039111547276,-0.005010890662289691,0.0906098021903178,0.04935890821568723,-0.032302752379293455,0.010336996162906733,0.00223401179301378,0.19235568282650398,0.0967522048360957,0.26146432283770127,0.1537474833173751,0.19156927628923065,0.021750328260150498,1.0,0.23823859425586713,0.076849655798223,0.045288010648376474,0.022675527405715663,-0.0027806996793857163,-0.007943906499105624,-0.02042902423496587
_category,-0.028173098209450142,0.021475723223753802,0.009225936587084026,-0.001078236925489342,-0.0040428078805773504,0.008969428265250722,-0.02957633074481991,0.015573314137381994,-0.026629838889722247,0.015051222145796597,-0.02185312470697692,0.016789477660724823,0.01928788766944101,0.13908178452610104,0.048802621257480056,0.18004501541743545,0.24156020724911703,0.18083099802942246,-0.00021916472325897598,0.23823859425586713,1.0,-0.03545688799956746,-0.024970010652033452,0.052068212261976464,-0.003402611844939468,-0.010478823558165545,0.013661982273842155
_post_quem,0.08282946486539053,0.14747564773584257,0.11554979528546613,0.0940876353781389,-0.1795328902991299,0.16883794589512646,-0.08661336242860569,0.032133332560416,0.09455107983940456,-0.005469962933704472,-0.09874666317412582,-0.042344106469848694,0.04120522341733935,0.08705883744413195,0.08787844468722536,0.10295160623160383,0.06119727062511834,0.046244893668927416,-0.0687409800724158,0.076849655798223,-0.03545688799956746,1.0,0.1744241148332742,-0.3751655803803178,-0.17449383586760492,-0.1830896000911969,0.0368459175073793
_source text,0.19358792717944429,0.0708540091318603,0.014550002627321312,0.028683517550014186,-0.02172511239751949,0.022808143233917843,-0.048031370117660344,-2.4939347087626677e-06,0.16232126274601671,0.003781535642194051,-0.05440531042952877,0.06415628710227889,0.02433561674537341,0.16480012854803439,0.09437820150034418,0.03736989529766431,-0.00397162051672609,0.01484893729480923,0.03378463501818275,0.045288010648376474,-0.024970010652033452,0.1744241148332742,1.0,-0.06999180896058273,-0.020518128309637472,-0.02690621177003412,-0.0029874326920316155
_editor,-0.07613268950277374,-0.019340217945824897,-0.04082174210887207,0.032109320997603094,0.058856847735502024,-0.05893328707748605,0.008657885626973116,0.02015059345925489,-0.09560156568787438,0.23105692682049198,0.07137655255930579,-0.001422921451631442,0.0011278873455347373,-0.03506276740969337,-0.0675184754001369,-0.0009221332990730875,0.09657157813507625,0.08772874066396959,0.18199505861062504,0.022675527405715663,0.052068212261976464,-0.3751655803803178,-0.06999180896058273,1.0,0.058896981804306026,0.04143559114609,-0.018965060633170883
coords,-0.04338568925608473,-0.16788127488714566,-0.7980884266231546,-0.5266085885671957,0.9999999367524629,-0.9849318073640098,0.14764196060966037,-0.007542230750663361,-0.01937985204193072,-0.07951938966095566,-0.06434337642384211,0.21873565070978537,-0.08631260078317467,0.020747667804074048,0.04033214220885296,0.03357841644595607,0.0004431270996427552,-0.020071762552511918,-0.004507778725627992,-0.0027806996793857163,-0.003402611844939468,-0.17449383586760492,-0.020518128309637472,0.058896981804306026,1.0,0.9731052805772229,-0.00774151534470853
closest_archeo,-0.03658969077444509,-0.16262901260797874,-0.7786100863431498,-0.5334328428225171,0.9899305237155722,-0.981857649708112,0.14463362363060495,-0.04837850304257636,-0.022800420291462467,-0.08816968534140683,-0.07479635837488934,0.22574763704416376,-0.10263424981533356,0.018866604535051925,0.025562742762497034,0.023955580560758423,-0.006626297935484502,-0.02131499155314672,-0.01717494792691708,-0.007943906499105624,-0.010478823558165545,-0.1830896000911969,-0.02690621177003412,0.04143559114609,0.9731052805772229,1.0,-0.02681288623751424
distance_to_closest_archeo,-0.02913227797566492,0.06573822747451108,0.14108403615296863,0.19412226921355233,-0.007740689962126918,0.021840081684655274,-0.01213754787597033,-0.06523958661378389,-0.021052808977931114,0.00539137937984684,0.013781164758647053,-0.08532525112664076,0.00010561589238357804,-0.028309007884855155,0.0072558137627237425,-0.004167294766689056,0.0034536942344972517,-0.020522613804182323,-0.019181567833598284,-0.02042902423496587,0.013661982273842155,0.0368459175073793,-0.0029874326920316155,-0.018965060633170883,-0.00774151534470853,-0.02681288623751424,1.0
