,_obj ID,_obj type,_county,_estate,_latitude,_longitude,_accuracy,_distance from Daugava,_toponym,_language,_source,_DELETE,_comment,_etymology,_alternative etymology,_inherited,_reliability,_source language,_attestation,_meaning,_category,_post_quem,_source text,_editor,coords,closest_archeo,distance_to_closest_archeo
_source,0.06766037021830346,0.06362519558885944,-0.011711416658966098,0.04699402389322072,-0.007213051415800876,0.007955514898736247,-0.08375216280755984,-0.03490428288427149,-0.09414806786364005,0.004646224344779339,1.0,-0.18194869013220297,-0.09246160110519827,-0.1124302374977615,-0.06358666916701487,-0.073251377560057,0.1462438666946531,-0.031314288546788666,-0.00426903134942207,-0.03190541757508351,-0.023411990881341584,-0.1371512512994638,0.021227029602772257,0.22841953656800698,-0.007368837558651921,-0.014015732128614946,0.16685996426380342
_DELETE,-0.034470438659658355,-0.273771020224425,-0.49855223965200957,-0.41249945921078013,0.49624105842564087,-0.49893959692577844,-0.0002097426698350742,-0.09862175459065335,-0.04642840467384598,-0.02198240529190515,-0.18194869013220297,1.0,0.1763033166300793,-0.020063120535107965,-0.16380426655320007,-0.08083546901317153,0.05072787167343185,0.0746380620414601,0.12733425781845129,-0.1542622414740959,0.03142796644004739,-0.3818171328652474,-0.10252014072539961,0.21681946099198995,0.4965789007195015,0.5163357311566767,0.022465072461728103
_comment,-0.06234373602330258,-0.02199270918640629,-0.10369962707692115,-0.002191970982624423,0.0434710830123254,-0.04618695649830811,-0.07545344329165558,-0.0031087229131147058,-0.01642420678261797,0.05167796551605581,-0.09246160110519827,0.1763033166300793,1.0,0.013112522113191858,0.06792216681904602,-0.003354884218158316,0.011672216506231967,0.06174642664147913,0.08184956102907624,0.0881504892589084,-0.060482472975756124,0.006811099198428756,-0.022373097803429953,0.06977088361761087,0.043470629974816606,0.05152045346989746,0.010796867166914848
_etymology,0.24709617021012276,0.09818299275195433,0.004795503697502085,0.018519814618811407,-0.022669328999610088,0.05258687987758256,-0.18824610229035998,-0.0739628532316454,0.38117879584935477,0.05665067661123944,-0.1124302374977615,-0.020063120535107965,0.013112522113191858,1.0,0.06174216845147949,0.3003115673098254,0.11912366622943946,0.07181629337788835,0.04239399846464432,0.14093168658950472,0.2253844066660313,0.24016072474425526,0.23426490194738392,-0.15101507487263147,-0.02243819241549538,-0.028622654790418596,-0.03361245227576212
_alternative etymology,-0.008227937494196213,0.007174284284434942,0.0796581208153013,0.17142404840686598,-0.11324012410640402,0.1257727492591894,-0.14098757664643313,-0.03597168622965206,0.06170039648379552,-0.023924282257544546,-0.06358666916701487,-0.16380426655320007,0.06792216681904602,0.06174216845147949,1.0,0.2791649358210539,0.10840885840625725,0.023667804250621184,-0.030404996940469536,0.16822226642606194,0.06739634398443387,0.2526416072270764,0.05097678376511577,0.028317205634048694,-0.11335743815814059,-0.10456515534378154,0.010102738865717952
_inherited,0.08304469899459381,0.06611706960540523,-0.10651361817537133,-0.057667384783823,0.0955764312909952,-0.07466494811181645,-0.1439089001261033,-0.10864731007238465,0.11828800808389694,0.059031237040715924,-0.073251377560057,-0.08083546901317153,-0.003354884218158316,0.3003115673098254,0.2791649358210539,1.0,0.16124258316997211,-0.006810371630786893,0.0233616079759257,0.3131305798095709,0.34805454220383686,0.18195460242323935,0.13900960106249508,-0.024506495914166135,0.09583615675448295,0.08974292447155541,-0.1490571767213109
_reliability,0.1631393154003193,0.01851924694456336,-0.05400185466810691,-0.09975241418303751,0.05206061023248558,-0.03339815635402914,-0.06809077071662477,-0.10850810711051037,0.11313000027921445,0.12978252977439228,0.1462438666946531,0.05072787167343185,0.011672216506231967,0.11912366622943946,0.10840885840625725,0.16124258316997211,1.0,0.398358306911073,0.16347161510483446,0.27321018714301004,0.329874163787619,-0.013590840799138491,-0.1425665382542764,0.26619778687793794,0.052188323756649446,0.05751020889395266,0.08917367445644671
_source language,0.020903978560414902,0.039064271934362994,0.02375479206843795,-0.1165102956369452,-0.03511970809156785,0.04175087053249581,-0.04715196062767231,-0.1042505895843342,0.09697819988452273,0.17112429500787094,-0.031314288546788666,0.0746380620414601,0.06174642664147913,0.07181629337788835,0.023667804250621184,-0.006810371630786893,0.398358306911073,1.0,0.3099553979467887,0.22143282772870415,0.17687692079465908,0.04232379417804549,-0.04695077423351625,0.19586823697321626,-0.03519274329841427,-0.02973451547858657,-0.012112140659236052
_attestation,0.056966869570946356,-0.013802338317187923,-0.08738588935056356,-0.06909525532454139,0.07711404975778066,-0.050226956188017806,-0.015630858872429956,-0.0483625585985924,0.04848345511488143,0.5157534068214475,-0.00426903134942207,0.12733425781845129,0.08184956102907624,0.04239399846464432,-0.030404996940469536,0.0233616079759257,0.16347161510483446,0.3099553979467887,1.0,0.04099902673776922,0.11579004490536032,-0.042564680379767746,0.009503471249934147,0.45665663050675065,0.07722706838495728,0.07743649815590507,-0.045226844251293634
_meaning,0.022896517506920698,0.20401385437035827,0.0013946434028530418,-0.04820835651959292,-0.010990364337722916,0.030713464192729148,0.02323201929627996,-0.15132887159684366,0.12565711151689327,0.15537215461590342,-0.03190541757508351,-0.1542622414740959,0.0881504892589084,0.14093168658950472,0.16822226642606194,0.3131305798095709,0.27321018714301004,0.22143282772870415,0.04099902673776922,1.0,0.18865101122120057,0.22654794505704395,0.041894830156020336,0.10813618469061405,-0.011199248312035524,-0.018980129631616806,-0.08517813868516125
_category,0.20580699471748992,0.20578078616179307,-0.013598335453553705,-0.14039362819951584,-0.005402493403926849,0.01954633627258663,-0.06806905417864771,-0.11329854776938632,0.15306734989949525,0.12416541042094431,-0.023411990881341584,0.03142796644004739,-0.060482472975756124,0.2253844066660313,0.06739634398443387,0.34805454220383686,0.329874163787619,0.17687692079465908,0.11579004490536032,0.18865101122120057,1.0,0.007274237049420381,0.08912041076097088,0.11395351377139902,-0.005038175425992295,-0.011600551779447502,-0.06453772607633478
_post_quem,0.10545874546556447,0.4161065605830079,0.2936595856007652,0.21039221094031457,-0.2958045039718623,0.3196351976628204,-0.2303095943660509,-0.04426189385491375,0.1872446843321623,0.1491896514672039,-0.1371512512994638,-0.3818171328652474,0.006811099198428756,0.24016072474425526,0.2526416072270764,0.18195460242323935,-0.013590840799138491,0.04232379417804549,-0.042564680379767746,0.22654794505704395,0.007274237049420381,1.0,0.21982513856344257,-0.3266875632061474,-0.29580142122061065,-0.3101366002876586,-0.028848518985195862
_source text,0.11308628589675712,0.21418178422816508,0.020297844663492166,0.12449246145372003,-0.03125394904605301,0.0575913850401,-0.12581768315794875,-0.06437859986142311,0.055500741336775454,0.027969292364246365,0.021227029602772257,-0.10252014072539961,-0.022373097803429953,0.23426490194738392,0.05097678376511577,0.13900960106249508,-0.1425665382542764,-0.04695077423351625,0.009503471249934147,0.041894830156020336,0.08912041076097088,0.21982513856344257,1.0,-0.024483574885303533,-0.031097134015793938,-0.03723021074000754,0.054839930536515834
_editor,-0.02896239638054496,-0.07854528935457213,-0.169265986578116,-0.014820943467808356,0.08864565071586636,-0.11170065722957584,0.06506205689307415,-0.12275990337061787,-0.1577018871498053,0.4953106688914094,0.22841953656800698,0.21681946099198995,0.06977088361761087,-0.15101507487263147,0.028317205634048694,-0.024506495914166135,0.26619778687793794,0.19586823697321626,0.45665663050675065,0.10813618469061405,0.11395351377139902,-0.3266875632061474,-0.024483574885303533,1.0,0.08864472688784134,0.1086667600175719,0.12897431787351757
coords,-0.03281636002588935,-0.2397046438112358,-0.9440709372780627,-0.6245878348783703,0.9999895784167913,-0.9730973642575285,0.1372364483609379,-0.07239246925285646,-0.020227274110594908,-0.09882657398248128,-0.007368837558651921,0.4965789007195015,0.043470629974816606,-0.02243819241549538,-0.11335743815814059,0.09583615675448295,0.052188323756649446,-0.03519274329841427,0.07722706838495728,-0.011199248312035524,-0.005038175425992295,-0.29580142122061065,-0.031097134015793938,0.08864472688784134,1.0,0.9962993159135312,-0.06470398195649396
closest_archeo,-0.030565727368244106,-0.24851058559391545,-0.9445648699662065,-0.6147255255818873,0.9962827720755457,-0.9755072393850353,0.13035396188494644,-0.08225539552723632,-0.02249009168228104,-0.09443091861868823,-0.014015732128614946,0.5163357311566767,0.05152045346989746,-0.028622654790418596,-0.10456515534378154,0.08974292447155541,0.05751020889395266,-0.02973451547858657,0.07743649815590507,-0.018980129631616806,-0.011600551779447502,-0.3101366002876586,-0.03723021074000754,0.1086667600175719,0.9962993159135312,1.0,-0.05227787794125055
distance_to_closest_archeo,0.0844476890968745,0.2455952696927864,0.015640736155079382,0.02842596864052615,-0.06442052953238551,0.016542261916679377,0.21038611602415613,-0.09351769798451881,0.03284501704218061,0.024061312648527153,0.16685996426380342,0.022465072461728103,0.010796867166914848,-0.03361245227576212,0.010102738865717952,-0.1490571767213109,0.08917367445644671,-0.012112140659236052,-0.045226844251293634,-0.08517813868516125,-0.06453772607633478,-0.028848518985195862,0.054839930536515834,0.12897431787351757,-0.06470398195649396,-0.05227787794125055,1.0
